fgc,min,rec,rem,work
22,18,1,22,498275
22,18,1,22,498318
22,18,1,22,498661
24,18,1,24,498523
22,18,1,22,497798
22,17,1,22,497923
22,18,1,22,498422
22,18,1,22,497961
22,17,1,22,499126
22,18,1,22,498206
22,18,1,22,498401
22,17,1,22,498031
22,18,1,22,498484
22,18,1,22,498301
22,18,1,22,498300
22,18,1,22,497782
22,18,1,22,498579
24,18,1,24,498482
22,18,1,22,498045
22,18,1,22,498007
22,18,1,22,498246
24,19,1,24,498287
22,18,1,22,498829
22,18,1,22,498456
22,17,1,22,498303
24,18,1,24,497603
24,18,1,24,498374
22,18,1,22,498256
22,18,1,22,498862
22,18,1,22,498142
22,18,1,22,498990
22,18,1,22,498122
24,19,1,24,498758
22,18,1,22,498188
24,18,1,24,498575
22,18,1,22,498530
22,18,1,22,498129
22,18,1,22,497630
22,17,1,22,498066
22,18,1,22,498546
24,17,1,24,497842
22,18,1,22,498484
22,17,1,22,498321
22,18,1,22,498274
22,18,1,22,497226
22,18,1,22,498164
22,18,1,22,498710
22,18,1,22,497688
22,17,1,22,497813
24,18,1,24,498686
22,17,1,22,499335
22,18,1,22,498181
24,18,1,24,498333
24,19,1,24,497935
22,18,1,22,497923
22,18,1,22,497534
24,18,1,24,497951
22,17,1,22,498107
22,18,1,22,497346
22,18,1,22,499391
22,18,1,22,498225
22,18,1,22,498881
22,18,1,22,498507
24,18,1,24,498242
22,18,1,22,498514
22,17,1,22,497995
22,18,1,22,497811
22,18,1,22,498920
22,18,1,22,498340
22,18,1,22,499138
24,18,1,24,499007
22,17,1,22,497652
24,19,1,24,498513
22,18,1,22,498055
22,18,1,22,498380
22,18,1,22,497974
24,17,1,24,499097
24,19,1,24,498868
22,18,1,22,498693
22,18,1,22,498294
22,18,1,22,497953
22,18,1,22,498606
22,18,1,22,499588
22,17,1,22,497866
22,18,1,22,498836
24,18,1,24,498967
22,17,1,22,498410
22,18,1,22,498654
22,18,1,22,497450
22,18,1,22,498093
22,18,1,22,498792
22,18,1,22,497624
22,18,1,22,498276
22,18,1,22,497955
22,18,1,22,499250
22,18,1,22,498678
22,18,1,22,498363
22,18,1,22,498450
22,18,1,22,498041
22,18,1,22,498408
24,19,1,24,498776
24,18,1,24,498412
24,18,1,24,498553
22,18,1,22,498012
22,18,1,22,498081
22,17,1,22,498206
22,18,1,22,498046
22,18,1,22,497998
22,18,1,22,498037
22,17,1,22,497900
22,18,1,22,498644
22,18,1,22,498194
22,18,1,22,498099
22,18,1,22,499279
22,18,1,22,498743
22,18,1,22,498211
22,17,1,22,498530
22,18,1,22,497399
22,17,1,22,497651
22,17,1,22,498167
24,17,1,24,498035
22,18,1,22,497947
24,18,1,24,498635
24,18,1,24,498337
22,18,1,22,498265
22,18,1,22,498287
22,18,1,22,498933
22,18,1,22,498085
22,17,1,22,498562
24,18,1,24,497714
24,18,1,24,498083
22,18,1,22,497963
22,18,1,22,498033
24,18,1,24,498996
22,18,1,22,498757
22,18,1,22,498178
24,18,1,24,497939
24,18,1,24,498688
22,17,1,22,498233
24,18,1,24,498385
22,18,1,22,498965
24,19,1,24,498305
22,17,1,22,498866
24,18,1,24,498306
22,18,1,22,498830
24,18,1,24,498454
22,17,1,22,497958
22,18,1,22,498175
22,18,1,22,499093
22,18,1,22,498757
22,18,1,22,498702
22,17,1,22,498579
22,18,1,22,498181
22,18,1,22,498153
24,18,1,24,498492
22,17,1,22,498444
22,17,1,22,498414
22,18,1,22,498001
24,18,1,24,499449
22,18,1,22,498058
22,18,1,22,497513
22,18,1,22,498202
24,19,1,24,498734
22,17,1,22,498110
24,18,1,24,498555
22,18,1,22,498450
22,18,1,22,498382
22,18,1,22,498675
22,18,1,22,499369
22,18,1,22,498563
24,18,1,24,498877
22,18,1,22,498286
22,18,1,22,498394
22,18,1,22,497944
22,18,1,22,499170
22,17,1,22,498267
24,18,1,24,498473
22,17,1,22,497206
22,18,1,22,498551
22,17,1,22,497998
22,18,1,22,498635
22,18,1,22,499028
22,18,1,22,498220
24,18,1,24,498078
22,17,1,22,497947
22,18,1,22,499094
24,18,1,24,499020
22,17,1,22,498205
22,18,1,22,498769
24,18,1,24,497695
22,18,1,22,497359
22,18,1,22,498490
22,18,1,22,498676
24,18,1,24,499346
22,18,1,22,498277
22,18,1,22,499127
22,18,1,22,498555
22,18,1,22,498386
22,18,1,22,498613
24,19,1,24,498759
24,19,1,24,497782
24,18,1,24,498125
22,18,1,22,498049
22,18,1,22,499224
22,17,1,22,499193
24,18,1,24,498672
22,18,1,22,498280
22,18,1,22,498872
24,17,1,24,497727
22,18,1,22,498202
22,18,1,22,497884
22,17,1,22,497417
24,18,1,24,498810
24,18,1,24,498483
22,18,1,22,497819
22,18,1,22,498377
22,17,1,22,498210
22,18,1,22,498080
22,18,1,22,497885
22,17,1,22,498645
24,18,1,24,497791
24,19,1,24,498545
22,18,1,22,497559
22,18,1,22,497590
24,18,1,24,498806
22,18,1,22,498894
22,18,1,22,498822
22,18,1,22,497666
22,18,1,22,497516
22,17,1,22,498605
22,17,1,22,498265
22,18,1,22,497732
22,18,1,22,498409
24,18,1,24,498097
22,18,1,22,498823
22,18,1,22,499146
22,18,1,22,498777
22,18,1,22,497895
24,19,1,24,498656
22,18,1,22,498311
24,18,1,24,498864
22,18,1,22,498077
22,18,1,22,498304
22,17,1,22,498330
22,17,1,22,497605
22,18,1,22,499010
22,18,1,22,498976
24,19,1,24,498752
22,18,1,22,499286
24,18,1,24,498098
