fgc,min,rec,rem,work
18,17,1,18,129917
18,18,1,17,130202
18,18,1,17,129715
19,18,1,19,129866
19,18,1,19,129784
18,18,1,18,129814
18,18,1,17,129679
18,17,1,18,129962
18,18,1,17,129577
18,18,1,17,129679
18,17,1,18,129587
18,17,1,18,129757
19,19,1,19,129752
19,18,1,19,130186
19,18,1,19,129780
17,17,1,17,129859
18,18,1,18,129610
18,18,1,17,129895
18,18,1,18,129566
19,17,1,19,130111
19,19,1,19,130036
18,17,1,18,130291
18,17,1,18,129781
18,17,1,18,129760
19,18,1,19,130016
19,18,1,19,130203
19,18,1,19,129962
19,18,1,19,129760
18,18,1,18,129944
19,18,1,19,129885
19,19,1,19,129637
19,18,1,19,130233
18,18,1,17,129853
18,18,1,17,129745
19,12,1,19,129997
19,19,1,19,129955
18,18,1,17,129578
18,18,1,17,129910
18,17,1,18,129672
18,17,1,18,129955
19,19,1,19,129701
19,18,1,19,129579
18,18,1,17,129627
19,18,1,19,130197
18,18,1,17,129906
18,17,1,18,129777
19,19,1,19,129910
18,17,1,18,129916
18,18,1,17,129705
19,19,1,19,130191
18,17,1,18,129507
18,17,1,18,129971
18,18,1,17,129912
18,17,1,18,129660
19,18,1,19,129612
18,18,1,17,130061
18,18,1,18,129626
18,18,1,17,130186
19,18,1,19,130325
19,18,1,19,130375
18,17,1,18,129584
19,19,1,19,129765
18,18,1,17,129617
18,18,1,17,129662
18,18,1,17,129611
19,18,1,19,129814
18,17,1,18,129943
19,18,1,19,129796
18,18,1,17,129606
19,18,1,19,129724
19,18,1,19,129833
19,18,1,19,129331
18,18,1,17,129853
19,18,1,19,130048
18,18,1,18,129854
18,17,1,18,129974
19,18,1,19,129670
19,18,1,19,129937
18,18,1,18,129912
19,18,1,19,129723
18,18,1,17,129587
18,17,1,18,129550
18,18,1,17,129983
18,18,1,18,129954
18,17,1,18,130016
18,17,1,18,129715
18,18,1,18,130385
18,18,1,18,129924
18,17,1,18,129538
19,19,1,19,129913
18,18,1,18,130043
18,18,1,17,129730
19,18,1,19,129753
19,19,1,19,130267
18,18,1,18,129712
19,18,1,19,129731
18,18,1,18,130048
19,18,1,19,129722
18,18,1,18,129913
18,18,1,17,129493
17,17,1,17,129681
18,18,1,17,130108
18,18,1,17,130010
19,18,1,19,130002
19,19,1,19,129616
19,18,1,19,129957
18,18,1,17,129604
19,18,1,19,129959
19,19,1,19,129533
19,18,1,19,130053
19,18,1,19,129821
19,18,1,19,129490
18,17,1,18,129551
18,17,1,18,129359
18,18,1,17,129876
17,17,1,17,129861
19,19,1,19,129880
18,17,1,18,129941
19,19,1,19,129889
18,17,1,18,129975
18,18,1,17,130187
19,18,1,19,129652
19,19,1,19,130094
18,17,1,18,129313
18,18,1,18,129742
18,18,1,17,129590
19,19,1,19,129845
19,19,1,19,129758
18,18,1,18,129691
18,18,1,18,130130
19,18,1,19,129991
19,18,1,19,129549
19,18,1,19,129897
18,18,1,17,129704
18,17,1,18,130061
18,18,1,17,129804
19,19,1,19,129522
19,18,1,19,129737
18,18,1,18,129703
18,18,1,17,129708
18,17,1,18,130176
18,18,1,17,129894
19,18,1,19,130270
18,18,1,18,129954
19,19,1,19,129955
18,18,1,18,130062
18,18,1,18,129674
18,18,1,18,129925
18,17,1,18,129744
19,18,1,19,129928
18,18,1,17,129897
18,17,1,18,129921
19,18,1,19,129960
19,18,1,19,129785
19,19,1,19,129761
18,18,1,17,129584
18,18,1,18,130166
19,18,1,19,129891
18,17,1,18,129526
18,18,1,17,129857
18,18,1,17,129579
19,18,1,19,130110
19,18,1,19,130013
18,18,1,17,129759
18,18,1,17,129591
19,18,1,19,130270
19,18,1,19,129335
18,18,1,18,129768
18,18,1,18,130001
17,17,1,17,129596
19,18,1,19,129771
18,17,1,18,130055
19,18,1,19,129836
18,18,1,17,129938
18,18,1,17,129495
19,18,1,19,130288
18,18,1,18,129755
19,18,1,19,130005
19,17,1,19,130117
19,18,1,19,130011
19,18,1,19,129769
18,18,1,17,129307
19,18,1,19,129823
19,18,1,19,129659
18,17,1,18,130082
18,17,1,18,129863
18,18,1,17,130126
18,18,1,17,129348
17,17,1,17,129663
19,19,1,19,129779
19,18,1,19,129844
18,18,1,17,129824
19,18,1,19,129905
18,18,1,17,130237
18,18,1,17,129863
17,17,1,17,129487
18,18,1,18,130013
18,18,1,17,130110
19,19,1,19,130049
18,18,1,17,129882
18,17,1,18,129696
18,18,1,18,130068
18,17,1,18,130055
18,18,1,17,129856
18,18,1,17,129782
18,18,1,17,129886
18,17,1,18,130308
18,18,1,18,129825
18,17,1,18,129740
18,18,1,17,130195
18,18,1,18,129738
18,18,1,17,130089
19,18,1,19,130320
19,18,1,19,129975
19,18,1,19,129987
19,18,1,19,129831
18,18,1,18,129960
18,18,1,17,130237
18,18,1,17,130031
18,18,1,17,129991
19,18,1,19,129797
19,18,1,19,129749
18,18,1,18,129774
19,18,1,19,130214
19,18,1,19,129927
19,18,1,19,129971
19,18,1,19,129966
19,18,1,19,130139
18,17,1,18,129554
18,18,1,18,130074
19,18,1,19,129788
18,18,1,17,129657
18,18,1,18,129969
19,19,1,19,130267
19,18,1,19,130048
18,18,1,17,129320
19,18,1,19,129976
18,18,1,18,129883
19,19,1,19,129856
18,18,1,17,129612
17,17,1,17,129784
18,18,1,18,130055
18,18,1,17,129625
19,18,1,19,130063
19,18,1,19,129907
19,18,1,19,129860
18,18,1,18,130063
18,18,1,17,129652
18,18,1,18,129905
19,18,1,19,129552
18,18,1,18,130063
18,18,1,17,129698
18,18,1,17,129753
18,18,1,18,129753
18,18,1,18,130346
19,19,1,19,129483
19,18,1,19,129896
18,17,1,18,129891
18,17,1,18,129786
18,18,1,18,129826
19,18,1,19,129979
