fgc,min,rec,rem,work
40,7,1,40,1735
40,8,1,40,1716
40,8,1,40,1699
40,8,1,40,1725
40,9,1,40,1742
40,8,1,40,1728
40,9,1,40,1773
40,2,1,40,1795
40,9,1,40,1769
40,8,1,40,1802
40,9,1,40,1783
40,9,1,40,1751
40,8,1,40,1742
40,8,1,40,1756
40,8,1,40,1799
40,8,1,40,1708
40,8,1,40,1779
40,9,1,40,1752
40,8,1,40,1759
40,8,1,40,1784
40,7,1,40,1702
40,9,1,40,1756
40,9,1,40,1825
40,7,1,40,1718
40,9,1,40,1706
40,9,1,40,1735
40,8,1,40,1779
40,9,1,40,1770
40,9,1,40,1739
40,9,1,40,1760
40,8,1,40,1740
40,8,1,40,1712
40,8,1,40,1738
40,8,1,40,1714
40,8,1,40,1774
40,8,1,40,1753
40,9,1,40,1777
40,9,1,40,1781
40,7,1,40,1753
40,8,1,40,1782
40,8,1,40,1744
40,8,1,40,1763
40,8,1,40,1725
40,8,1,40,1733
40,9,1,40,1758
40,8,1,40,1710
40,8,1,40,1733
40,8,1,40,1733
40,8,1,40,1692
40,8,1,40,1755
40,9,1,40,1743
40,8,1,40,1739
40,7,1,40,1781
40,9,1,40,1767
40,8,1,40,1755
40,9,1,40,1822
40,8,1,40,1716
40,8,1,40,1726
40,9,1,40,1780
40,9,1,40,1776
40,9,1,40,1760
40,2,1,40,1698
40,8,1,40,1791
40,9,1,40,1727
40,9,1,40,1750
40,8,1,40,1719
40,8,1,40,1748
40,9,1,40,1769
40,8,1,40,1746
40,9,1,40,1787
40,9,1,40,1790
40,8,1,40,1712
40,8,1,40,1748
40,9,1,40,1761
40,9,1,40,1820
40,9,1,40,1751
40,8,1,40,1782
40,7,1,40,1711
40,9,1,40,1745
40,9,1,40,1716
40,8,1,40,1746
40,9,1,40,1716
40,9,1,40,1784
40,8,1,40,1706
40,8,1,40,1727
40,8,1,40,1754
40,9,1,40,1773
40,8,1,40,1725
40,9,1,40,1806
40,7,1,40,1701
40,8,1,40,1750
40,9,1,40,1792
40,9,1,40,1739
40,9,1,40,1757
40,9,1,40,1757
40,9,1,40,1837
40,9,1,40,1728
40,8,1,40,1738
40,7,1,40,1698
40,9,1,40,1782
40,9,1,40,1746
40,9,1,40,1742
40,8,1,40,1756
40,8,1,40,1745
40,8,1,40,1766
40,9,1,40,1728
40,9,1,40,1763
40,8,1,40,1743
40,9,1,40,1774
40,9,1,40,1726
40,8,1,40,1749
40,8,1,40,1769
40,9,1,40,1735
40,8,1,40,1740
40,8,1,40,1743
40,9,1,40,1737
40,7,1,40,1770
40,8,1,40,1706
40,8,1,40,1706
40,8,1,40,1719
40,9,1,40,1776
40,8,1,40,1701
40,8,1,40,1724
40,8,1,40,1746
40,8,1,40,1751
40,9,1,40,1757
40,8,1,40,1756
38,9,0,38,1613
40,7,1,40,1697
40,9,1,40,1770
40,8,1,40,1756
40,8,1,40,1756
40,9,1,40,1813
40,9,1,40,1754
40,8,1,40,1737
40,9,1,40,1806
40,8,1,40,1733
40,8,1,40,1817
40,9,1,40,1755
40,8,1,40,1767
40,8,1,40,1773
40,8,1,40,1749
40,8,1,40,1788
40,8,1,40,1773
40,8,1,40,1711
40,9,1,40,1753
40,9,1,40,1709
40,9,1,40,1790
40,8,1,40,1794
40,8,1,40,1738
40,8,1,40,1756
40,9,1,40,1769
40,8,1,40,1708
40,8,1,40,1723
40,8,1,40,1763
40,9,1,40,1777
40,9,1,40,1715
40,9,1,40,1781
40,8,1,40,1729
40,9,1,40,1754
40,8,1,40,1727
40,9,1,40,1775
40,9,1,40,1749
40,8,1,40,1732
40,9,1,40,1718
40,8,1,40,1740
40,8,1,40,1778
40,9,1,40,1762
40,8,1,40,1729
40,8,1,40,1718
40,8,1,40,1718
40,9,1,40,1705
40,7,1,40,1718
40,9,1,40,1751
40,8,1,40,1743
40,9,1,40,1803
40,9,1,40,1760
40,8,1,40,1755
40,9,1,40,1777
40,8,1,40,1760
40,8,1,40,1789
40,10,1,40,1792
40,8,1,40,1694
40,8,1,40,1750
40,8,1,40,1755
40,9,1,40,1760
40,8,1,40,1733
40,8,1,40,1798
40,9,1,40,1787
40,9,1,40,1748
40,8,1,40,1752
40,8,1,40,1764
