fgc,min,rec,rem,work
524,11,1,524,408226
524,9,1,524,408190
524,10,1,524,409395
524,11,1,524,409280
524,11,1,524,409214
524,10,1,524,409095
524,10,1,524,408015
524,10,1,524,408122
524,9,1,524,408118
524,8,1,524,408992
524,11,1,524,408719
524,9,1,524,408875
524,8,1,524,408935
524,11,1,524,408351
524,10,1,524,408564
524,10,1,524,408754
524,11,1,524,408907
524,11,1,524,408641
524,8,1,524,407653
524,10,1,524,409341
524,11,1,524,409215
524,12,1,524,408499
524,10,1,524,408868
524,12,1,524,410183
524,10,1,524,408471
524,10,1,524,408453
524,11,1,524,407645
524,9,1,524,407699
524,11,1,524,408809
524,9,1,524,409380
524,9,1,524,408285
524,10,1,524,409098
524,11,1,524,407988
524,11,1,524,408588
524,11,1,524,408996
524,11,1,524,408569
524,12,1,524,407952
524,10,1,524,408885
524,9,1,524,409224
524,10,1,524,408218
524,10,1,524,408128
524,11,1,524,408484
524,9,1,524,409619
524,10,1,524,409489
524,10,1,524,409023
524,9,1,524,408133
524,10,1,524,408918
524,11,1,524,409161
524,11,1,524,408422
524,11,1,524,408513
524,10,1,524,408203
524,9,1,524,408591
524,11,1,524,408006
524,12,1,524,409188
524,12,1,524,407692
524,11,1,524,408766
524,10,1,524,408564
524,10,1,524,407844
524,11,1,524,408549
524,9,1,524,407848
524,8,1,524,408165
524,10,1,524,409074
524,7,1,524,408767
524,12,1,524,408939
524,10,1,524,408468
524,11,1,524,408556
524,10,1,524,408675
524,10,1,524,408064
524,10,1,524,408990
524,9,1,524,408876
524,10,1,524,407987
524,10,1,524,408442
524,9,1,524,408510
524,11,1,524,409065
524,10,1,524,408603
524,10,1,524,408541
524,10,1,524,408426
524,8,1,524,408389
524,12,1,524,408741
524,11,1,524,408215
524,9,1,524,408900
524,11,1,524,408083
524,10,1,524,408780
524,11,1,524,408658
524,9,1,524,408886
524,9,1,524,408506
524,11,1,524,408771
524,9,1,524,408757
524,9,1,524,408492
524,11,1,524,408368
524,11,1,524,408601
524,11,1,524,409414
524,11,1,524,407763
524,10,1,524,408345
524,12,1,524,409548
524,10,1,524,408953
524,10,1,524,408386
524,12,1,524,407594
524,10,1,524,408705
524,10,1,524,408073
524,11,1,524,409550
524,11,1,524,408241
524,11,1,524,408924
524,9,1,524,409288
524,10,1,524,408802
524,10,1,524,409208
524,10,1,524,408224
524,12,1,524,408026
524,9,1,524,408535
524,11,1,524,408469
524,10,1,524,408082
524,11,1,524,408469
524,11,1,524,408706
524,10,1,524,408898
524,9,1,524,408418
524,11,1,524,408601
524,11,1,524,408081
524,12,1,524,409034
524,12,1,524,408763
524,10,1,524,408775
524,9,1,524,409194
524,6,1,524,408843
524,11,1,524,407624
524,11,1,524,408702
524,10,1,524,408977
524,10,1,524,407599
524,10,1,524,408404
524,11,1,524,409062
524,11,1,524,408669
524,11,1,524,408229
524,9,1,524,408141
524,10,1,524,408596
524,10,1,524,409155
524,11,1,524,408009
524,10,1,524,408759
524,10,1,524,408784
524,11,1,524,408891
524,11,1,524,407412
524,10,1,524,408792
524,10,1,524,408345
524,12,1,524,409816
524,10,1,524,408390
524,10,1,524,409342
524,11,1,524,408158
524,11,1,524,409115
524,11,1,524,408986
524,11,1,524,408975
524,10,1,524,408121
524,11,1,524,408466
524,12,1,524,408628
524,10,1,524,408808
524,9,1,524,407648
524,10,1,524,408991
524,10,1,524,408009
524,10,1,524,408284
524,9,1,524,409342
524,10,1,524,409151
524,11,1,524,409531
524,11,1,524,407867
524,9,1,524,409225
524,11,1,524,408616
524,10,1,524,408727
524,11,1,524,408516
524,10,1,524,408553
524,10,1,524,408411
524,11,1,524,408936
524,11,1,524,407678
524,10,1,524,408884
524,8,1,524,409522
524,10,1,524,409009
524,11,1,524,409524
524,9,1,524,408199
524,10,1,524,408463
524,12,1,524,408486
524,8,1,524,408064
524,10,1,524,408734
524,10,1,524,409273
524,10,1,524,408250
524,10,1,524,408363
524,9,1,524,408992
524,8,1,524,408788
524,12,1,524,408604
524,11,1,524,409451
524,11,1,524,408014
524,11,1,524,408448
524,11,1,524,408217
524,11,1,524,408423
524,11,1,524,408241
524,9,1,524,408745
524,11,1,524,408648
524,11,1,524,408261
524,10,1,524,407982
524,10,1,524,408077
524,10,1,524,407761
524,11,1,524,408894
524,11,1,524,408157
524,10,1,524,408507
524,12,1,524,409282
524,11,1,524,409175
524,8,1,524,409094
524,10,1,524,409255
524,10,1,524,408969
524,10,1,524,409043
524,11,1,524,408312
524,10,1,524,408595
524,11,1,524,407932
524,11,1,524,408553
524,11,1,524,408867
524,11,1,524,408917
524,10,1,524,408589
524,9,1,524,408344
524,9,1,524,407635
524,10,1,524,408692
524,12,1,524,408160
524,10,1,524,408320
524,10,1,524,409174
524,11,1,524,409757
524,11,1,524,408529
524,10,1,524,408336
524,11,1,524,408257
524,11,1,524,408633
524,9,1,524,408595
524,9,1,524,407930
524,12,1,524,407970
524,10,1,524,407984
524,10,1,524,409037
524,11,1,524,408648
524,11,1,524,409568
524,10,1,524,408595
524,9,1,524,407487
524,11,1,524,409269
524,8,1,524,407967
524,10,1,524,407295
524,11,1,524,409045
524,10,1,524,408398
524,9,1,524,407903
524,11,1,524,407215
524,10,1,524,408145
524,11,1,524,409099
524,12,1,524,408756
524,10,1,524,408893
524,12,1,524,409101
524,9,1,524,408259
524,10,1,524,409508
524,10,1,524,408265
524,10,1,524,408880
524,9,1,524,409117
524,10,1,524,408279
524,10,1,524,409114
524,11,1,524,408849
524,11,1,524,408223
524,10,1,524,408536
524,12,1,524,408489
524,11,1,524,409328
524,11,1,524,408196
524,11,1,524,409185
524,11,1,524,408508
524,10,1,524,408551
524,11,1,524,408880
524,12,1,524,408838
524,11,1,524,409688
524,10,1,524,408679
524,12,1,524,408692
524,11,1,524,408471
524,11,1,524,408655
524,10,1,524,408749
524,11,1,524,407988
524,10,1,524,409251
524,8,1,524,408897
524,10,1,524,408486
524,12,1,524,409181
524,11,1,524,408988
524,9,1,524,408862
524,9,1,524,408445
