fgc,min,rec,rem,work
14,13,1,14,8092
14,13,1,14,8133
14,14,1,13,8091
13,13,1,13,7976
14,14,1,13,8030
13,13,1,13,8018
14,13,1,14,8146
13,13,1,13,8134
14,14,1,13,8053
13,13,1,13,8081
14,14,1,13,8128
14,13,1,14,8094
14,14,1,13,8085
14,14,1,13,8116
13,13,1,13,8085
14,14,1,13,8022
13,13,1,13,8083
13,13,1,13,8107
13,13,1,13,8083
14,14,1,13,8109
14,14,1,13,8055
13,13,1,13,8131
14,14,1,13,8134
14,14,1,13,8164
13,13,1,13,7992
14,13,1,14,8091
14,14,1,13,8082
13,13,1,13,8099
14,14,1,13,8111
14,14,1,13,8059
14,14,1,13,8093
13,13,1,13,7974
14,13,1,14,8037
14,14,1,13,8103
13,13,1,13,8075
13,13,1,13,8072
14,13,1,14,8112
13,13,1,13,8102
13,13,1,13,8097
13,13,1,13,8035
13,13,1,13,8048
13,13,1,13,8133
13,13,1,13,8057
14,13,1,14,8130
13,13,1,13,8164
13,13,1,13,8071
13,13,1,13,8008
13,13,1,13,8063
14,13,1,14,8100
13,13,1,13,8070
14,13,1,14,8211
14,13,1,14,8075
14,14,1,13,8104
14,14,1,13,8134
14,14,1,13,8010
13,13,1,13,8137
13,13,1,13,8051
13,13,1,13,8120
13,13,1,13,8037
13,13,1,13,8006
13,13,1,13,8165
13,13,1,13,8063
13,13,1,13,8090
13,13,1,13,7986
13,13,1,13,8086
13,13,1,13,8106
13,13,1,13,8148
14,13,1,14,8075
13,13,1,13,8064
13,13,1,13,8021
14,13,1,14,8078
13,13,1,13,8101
14,13,1,14,8063
13,13,1,13,8014
13,13,1,13,8026
14,14,1,13,8210
13,13,1,13,8075
13,13,1,13,8076
13,13,1,13,8041
13,13,1,13,8103
14,13,1,14,8210
13,13,1,13,8006
13,13,1,13,8092
13,13,1,13,8082
14,13,1,14,8085
13,13,1,13,8015
14,14,1,13,8048
13,13,1,13,8043
13,13,1,13,8099
14,14,1,13,8047
13,13,1,13,8022
13,13,1,13,8094
13,13,1,13,8020
13,13,1,13,8004
13,13,1,13,8122
14,14,1,13,8060
13,12,1,13,8007
14,13,1,14,8042
13,13,1,13,8088
13,13,1,13,8132
13,13,1,13,7957
14,13,1,14,8108
14,14,1,13,8063
13,13,1,13,8006
13,13,1,13,8128
13,13,1,13,7974
13,13,1,13,8036
14,14,1,13,8121
13,13,1,13,8095
14,13,1,14,8122
14,14,1,13,8083
13,13,1,13,8116
13,13,1,13,8093
14,13,1,14,8058
14,14,1,13,8068
14,13,1,14,8068
13,13,1,13,8063
13,13,1,13,8072
13,13,1,13,8088
14,14,1,13,8109
14,14,1,13,8201
13,13,1,13,8096
13,13,1,13,8141
13,13,1,13,8136
14,14,1,13,8075
14,13,1,14,8119
13,13,1,13,8186
14,13,1,14,8148
13,13,1,13,8098
13,13,1,13,8037
14,13,1,14,8131
14,14,1,13,8073
14,13,1,14,7974
14,13,1,14,8156
13,13,1,13,8057
13,13,1,13,8082
14,13,1,14,8095
14,13,1,14,8081
13,13,1,13,8115
13,13,1,13,8096
14,14,1,13,8135
13,13,1,13,8052
14,14,1,13,8091
13,13,1,13,8065
14,14,1,13,8093
13,13,1,13,8027
13,13,1,13,7987
14,13,1,14,8186
13,13,1,13,7955
14,14,1,13,7980
14,14,1,13,8021
13,13,1,13,8096
13,13,1,13,8047
14,13,1,14,8035
13,13,1,13,8031
14,14,1,13,8018
13,13,1,13,8077
13,13,1,13,8077
14,14,1,13,8137
13,13,1,13,8082
13,13,1,13,8018
13,13,1,13,8091
13,6,1,13,8074
13,13,1,13,8092
14,13,1,14,8102
14,14,1,13,8073
13,13,1,13,8182
14,14,1,13,8057
13,13,1,13,8156
13,13,1,13,8053
14,14,1,13,8087
13,13,1,13,8060
13,13,1,13,8117
13,13,1,13,8093
14,14,1,13,8077
14,14,1,13,8125
14,14,1,13,8091
13,13,1,13,8024
13,13,1,13,8055
13,13,1,13,8180
13,13,1,13,8143
13,13,1,13,8024
14,13,1,14,8038
13,13,1,13,8058
13,13,1,13,8067
14,13,1,14,8076
14,13,1,14,8021
13,13,1,13,8145
