fgc,min,rec,rem,work
23,21,1,23,2056205
23,22,1,23,2057393
23,21,1,23,2055207
23,22,1,23,2056443
23,21,1,23,2057084
23,21,1,23,2056765
23,22,1,23,2055512
23,21,1,23,2056131
23,22,1,23,2056921
23,22,1,23,2055636
23,21,1,23,2057166
23,21,1,23,2056980
23,21,1,23,2056401
23,22,1,23,2056577
23,21,1,23,2057478
23,22,1,23,2056733
25,22,1,25,2055285
23,21,1,23,2056848
23,21,1,23,2053675
23,21,1,23,2056667
23,22,1,23,2057307
23,22,1,23,2057347
23,22,1,23,2056757
25,22,1,25,2057228
25,22,1,25,2055913
23,22,1,23,2055259
23,21,1,23,2056085
23,22,1,23,2056298
23,22,1,23,2055561
23,22,1,23,2054437
23,22,1,23,2057132
23,21,1,23,2055513
23,22,1,23,2056666
25,22,1,25,2055619
23,21,1,23,2057116
23,21,1,23,2055709
23,21,1,23,2057613
23,21,1,23,2056113
23,22,1,23,2056578
23,22,1,23,2056919
23,22,1,23,2057381
23,22,1,23,2057840
23,22,1,23,2057032
23,21,1,23,2056359
23,21,1,23,2057592
23,22,1,23,2057362
23,22,1,23,2054684
23,22,1,23,2056224
23,21,1,23,2056490
25,22,1,25,2055148
25,22,1,25,2056302
23,22,1,23,2056085
23,22,1,23,2055381
23,14,1,23,2056842
23,21,1,23,2056268
23,22,1,23,2055672
23,22,1,23,2056885
23,21,1,23,2056135
23,21,1,23,2056815
23,21,1,23,2054427
23,22,1,23,2057385
23,21,1,23,2056734
23,22,1,23,2056363
23,21,1,23,2054727
23,22,1,23,2055394
23,21,1,23,2056297
23,22,1,23,2055622
23,21,1,23,2056177
23,22,1,23,2057605
23,22,1,23,2054934
23,22,1,23,2056304
23,21,1,23,2055704
23,22,1,23,2055663
23,22,1,23,2056810
23,22,1,23,2055547
23,22,1,23,2056169
23,22,1,23,2055760
23,22,1,23,2057404
23,22,1,23,2055067
23,21,1,23,2057059
23,22,1,23,2055990
23,21,1,23,2055373
23,22,1,23,2055484
23,22,1,23,2056424
25,21,1,25,2056303
23,21,1,23,2054569
23,21,1,23,2056050
23,22,1,23,2057217
23,22,1,23,2054575
23,21,1,23,2056867
23,22,1,23,2055051
23,22,1,23,2056184
23,22,1,23,2053742
23,22,1,23,2056318
23,22,1,23,2055067
23,21,1,23,2056394
23,21,1,23,2054989
23,22,1,23,2056420
23,22,1,23,2055049
25,21,1,25,2055116
23,21,1,23,2056823
23,22,1,23,2055858
23,21,1,23,2055526
25,22,1,25,2057304
23,21,1,23,2055942
23,21,1,23,2056946
23,22,1,23,2055804
23,22,1,23,2057432
23,21,1,23,2056611
23,22,1,23,2055760
23,21,1,23,2055257
23,22,1,23,2057472
23,21,1,23,2056869
23,22,1,23,2055771
23,22,1,23,2057568
23,22,1,23,2056215
25,22,1,25,2054325
23,22,1,23,2057364
23,22,1,23,2056813
23,21,1,23,2056536
23,22,1,23,2056611
23,22,1,23,2054693
23,21,1,23,2055535
23,22,1,23,2056496
23,21,1,23,2056111
23,21,1,23,2054822
23,21,1,23,2054760
23,22,1,23,2055950
25,22,1,25,2056492
23,22,1,23,2054742
25,22,1,25,2056266
23,22,1,23,2054007
23,21,1,23,2055563
23,22,1,23,2057128
