fgc,min,rec,rem,work
15,15,1,15,16272
15,14,1,15,16156
15,15,1,15,16248
15,15,1,15,16203
15,15,1,15,16134
15,14,1,15,16189
15,14,1,15,16183
15,15,1,15,16270
15,14,1,15,16211
15,15,1,15,16248
15,15,1,15,16145
15,15,1,15,16482
15,14,1,15,16110
15,15,1,15,16222
15,15,1,15,16152
15,15,1,15,16213
15,14,1,15,16189
15,15,1,15,16304
15,15,1,15,16224
15,14,1,15,16180
15,14,1,15,16082
15,15,1,15,16162
15,15,1,15,16149
15,15,1,15,16258
15,15,1,15,16128
15,14,1,15,16148
15,15,1,15,16263
15,15,1,15,16166
15,15,1,15,16170
15,14,1,15,16338
15,15,1,15,16241
15,15,1,15,16183
15,14,1,15,16289
15,15,1,15,16282
15,14,1,15,16151
15,15,1,15,16173
15,15,1,15,16181
15,15,1,15,16262
15,15,1,15,16133
15,14,1,15,16149
15,14,1,15,16153
15,14,1,15,16224
15,14,1,15,16213
15,14,1,15,16288
15,15,1,15,16195
15,15,1,15,16212
15,14,1,15,16154
15,15,1,15,16299
15,15,1,15,16231
15,14,1,15,16027
15,14,1,15,16193
15,15,1,15,16223
15,15,1,15,16295
15,14,1,15,16203
15,15,1,15,16214
15,14,1,15,16119
15,14,1,15,16237
15,14,1,15,16181
15,15,1,15,16179
15,15,1,15,16318
15,14,1,15,16134
15,15,1,15,16136
15,14,1,15,16111
15,15,1,15,16235
15,15,1,15,16253
15,14,1,15,16236
15,14,1,15,16207
15,15,1,15,16075
15,14,1,15,16215
15,14,1,15,16158
15,15,1,15,16300
15,15,1,15,16260
14,14,1,13,16116
15,14,1,15,16094
15,14,1,15,16209
15,15,1,15,16201
15,15,1,15,16137
15,15,1,15,16356
15,15,1,15,16162
15,15,1,15,16227
15,14,1,15,16244
15,14,1,15,16155
15,15,1,15,16186
15,15,1,15,16293
15,15,1,15,16264
15,14,1,15,16238
15,15,1,15,16141
15,15,1,15,16300
15,15,1,15,16225
15,15,1,15,16216
15,15,1,15,16255
15,15,1,15,16181
15,15,1,15,16327
15,14,1,15,16178
15,15,1,15,16124
14,14,1,14,15968
15,15,1,15,16137
15,15,1,15,16213
15,15,1,15,16269
15,14,1,15,16211
15,14,1,15,16169
15,8,1,15,16265
15,15,1,15,16204
15,15,1,15,16211
15,14,1,15,16257
15,14,1,15,16353
14,14,1,14,16143
15,15,1,15,16259
15,15,1,15,16110
15,15,1,15,16246
15,14,1,15,16176
15,15,1,15,16266
15,15,1,15,16176
15,14,1,15,16219
15,14,1,15,16331
15,15,1,15,16219
15,14,1,15,16192
15,15,1,15,16201
14,14,1,14,16133
15,14,1,15,16145
15,15,1,15,16191
15,14,1,15,16366
15,15,1,15,16167
15,15,1,15,16197
15,14,1,15,16174
15,15,1,15,16203
15,15,1,15,16312
15,15,1,15,16291
15,15,1,15,16150
15,15,1,15,16171
15,14,1,15,16172
15,14,1,15,16161
15,15,1,15,16240
15,15,1,15,16095
15,15,1,15,16335
15,15,1,15,16216
15,14,1,15,16244
15,15,1,15,16165
15,14,1,15,16131
15,15,1,15,16218
15,14,1,15,16188
15,14,1,15,16268
15,15,1,15,16346
15,14,1,15,16298
15,15,1,15,16238
15,15,1,15,16197
15,14,1,15,16219
15,15,1,15,16405
15,14,1,15,16218
15,14,1,15,16160
15,15,1,15,16251
15,14,1,15,16384
15,14,1,15,16206
15,14,1,15,16173
15,15,1,15,16208
15,14,1,15,16177
15,14,1,15,16158
15,14,1,15,16249
15,14,1,15,16321
15,14,1,15,16230
15,14,1,15,16249
15,14,1,15,16094
15,15,1,15,16232
15,14,1,15,16102
15,14,1,15,16231
14,14,1,14,16034
15,15,1,15,16165
15,15,1,15,16267
15,14,1,15,16155
15,14,1,15,16222
15,14,1,15,16188
15,14,1,15,16291
15,15,1,15,16197
15,14,1,15,16230
15,14,1,15,16252
15,14,1,15,16221
15,15,1,15,16091
15,15,1,15,16170
15,14,1,15,16196
15,14,1,15,16236
15,14,1,15,16144
15,14,1,15,16281
15,15,1,15,16129
15,15,1,15,16155
15,15,1,15,16234
15,14,1,15,16240
15,8,1,15,16219
15,15,1,15,16328
15,14,1,15,16160
15,14,1,15,16180
15,15,1,15,16245
15,14,1,15,16283
15,15,1,15,16276
15,15,1,15,16160
15,14,1,15,16256
15,15,1,15,16105
15,14,1,15,16337
15,14,1,15,16174
15,15,1,15,16157
15,15,1,15,16196
15,14,1,15,16161
15,14,1,15,16258
15,14,1,15,16199
15,15,1,15,16073
15,14,1,15,16183
15,15,1,15,16115
15,15,1,15,16159
15,14,1,15,16203
15,14,1,15,16141
15,14,1,15,16274
14,13,1,14,16231
15,14,1,15,16211
15,14,1,15,16250
15,15,1,15,16320
14,14,1,14,16093
14,14,1,14,16175
15,8,1,15,16110
15,15,1,15,16068
15,14,1,15,16244
15,8,1,15,16276
15,15,1,15,16291
15,15,1,15,16249
15,14,1,15,16248
15,14,1,15,16250
14,14,1,14,15992
15,14,1,15,16093
15,8,1,15,16318
15,15,1,15,16217
15,15,1,15,16221
15,15,1,15,16220
15,14,1,15,16209
15,15,1,15,16260
15,14,1,15,16051
15,15,1,15,16087
15,15,1,15,16188
15,14,1,15,16229
15,15,1,15,16166
15,14,1,15,16351
15,14,1,15,16154
15,14,1,15,16172
15,14,1,15,16194
15,14,1,15,16235
15,15,1,15,16236
15,14,1,15,16149
15,15,1,15,16263
15,15,1,15,16331
15,14,1,15,16179
15,14,1,15,16072
15,15,1,15,16204
15,15,1,15,16240
15,15,1,15,16337
15,14,1,15,16123
15,14,1,15,16223
15,14,1,15,16144
15,15,1,15,16218
15,14,1,15,16103
15,14,1,15,16274
15,14,1,15,16210
15,15,1,15,16196
15,14,1,15,16231
15,15,1,15,16288
15,15,1,15,16235
15,15,1,15,16185
15,15,1,15,16164
15,14,1,15,16179
15,14,1,15,16185
15,15,1,15,16231
15,15,1,15,16092
15,15,1,15,16280
15,14,1,15,16075
15,14,1,15,16199
15,15,1,15,16308
15,14,1,15,16196
14,14,1,14,16095
15,15,1,15,16172
15,15,1,15,16168
15,14,1,15,16183
15,15,1,15,16248
15,14,1,15,16125
15,14,1,15,16207
15,14,1,15,16199
15,15,1,15,16256
15,15,1,15,16315
15,15,1,15,16195
15,15,1,15,16346
15,15,1,15,16062
15,14,1,15,16314
15,14,1,15,16210
15,14,1,15,16167
15,15,1,15,16260
15,15,1,15,16311
15,14,1,15,16125
15,15,1,15,16347
15,14,1,15,16137
15,15,1,15,16117
15,15,1,15,16206
15,15,1,15,16217
15,14,1,15,16258
15,15,1,15,16183
14,13,1,14,16075
15,14,1,15,16212
15,15,1,15,16382
