fgc,min,rec,rem,work
19,18,1,19,257153
21,19,1,21,256749
19,18,1,19,256499
21,18,1,21,257237
21,19,1,21,257126
19,18,1,19,256235
21,18,1,21,257237
21,19,1,21,256544
21,19,1,21,256848
21,19,1,21,257173
21,19,1,21,256750
21,18,1,21,257114
19,18,1,19,256199
21,18,1,21,257071
21,19,1,21,256777
21,19,1,21,257307
19,18,1,19,256675
21,18,1,21,257605
21,18,1,21,257696
21,18,1,21,256533
21,18,1,21,256873
19,18,1,19,257100
21,17,1,21,257386
21,19,1,21,256862
21,18,1,21,257250
21,18,1,21,256925
21,19,1,21,257147
21,18,1,21,257607
21,19,1,21,257002
21,18,1,21,256801
21,18,1,21,256827
21,19,1,21,256595
21,19,1,21,257198
21,18,1,21,256771
21,18,1,21,257133
21,19,1,21,256625
19,18,1,19,257213
21,18,1,21,257683
21,19,1,21,256970
21,18,1,21,257012
19,18,1,19,257161
21,19,1,21,256404
21,19,1,21,256916
21,18,1,21,256381
21,18,1,21,256872
19,18,1,19,256810
21,19,1,21,257099
21,19,1,21,257129
21,19,1,21,257108
21,19,1,21,257105
21,18,1,21,257097
19,18,1,19,256811
21,18,1,21,257870
21,19,1,21,256704
21,18,1,21,257007
21,19,1,21,256738
19,18,1,19,256584
21,19,1,21,256834
21,19,1,21,257266
21,18,1,21,257243
21,19,1,21,256656
21,18,1,21,256913
19,18,1,19,257047
21,19,1,21,257150
21,18,1,21,256621
19,18,1,19,257367
20,18,1,20,256969
21,19,1,21,257210
19,18,1,19,256950
21,18,1,21,256996
19,18,1,19,256954
21,18,1,21,256508
21,19,1,21,256853
21,19,1,21,256691
19,18,1,19,257235
21,19,1,21,257280
21,18,1,21,257113
21,18,1,21,257434
21,19,1,21,256673
21,19,1,21,256815
19,18,1,19,256995
19,18,1,19,257298
21,18,1,21,257137
21,19,1,21,257075
19,18,1,19,257071
21,18,1,21,256728
21,18,1,21,256620
21,19,1,21,257160
21,19,1,21,256690
21,18,1,21,257513
21,18,1,21,256790
21,18,1,21,257027
21,19,1,21,256441
21,19,1,21,256581
21,19,1,21,257089
19,18,1,19,257224
21,18,1,21,257457
21,19,1,21,256505
21,18,1,21,256490
21,18,1,21,257377
21,18,1,21,258003
21,18,1,21,257470
21,19,1,21,256609
20,18,1,20,256907
21,18,1,21,257147
21,18,1,21,257155
21,19,1,21,257269
19,18,1,19,257433
21,18,1,21,256882
21,19,1,21,256909
21,18,1,21,256951
