fgc,min,rec,rem,work
13,13,1,13,4057
12,12,1,12,4013
13,12,1,13,4010
13,12,1,13,4066
13,12,1,13,4068
13,12,1,13,4044
13,12,1,13,4052
12,12,1,12,3967
13,12,1,13,4084
13,12,1,13,4001
13,13,1,13,4033
12,12,1,11,3966
12,12,1,11,3994
13,13,1,13,4065
13,13,1,13,4099
12,12,1,12,3945
12,12,1,11,3948
12,12,1,12,4051
12,11,1,12,3991
13,12,1,13,4020
13,12,1,13,4083
12,12,1,11,3962
13,11,1,13,4012
13,13,1,13,4072
13,13,1,13,4045
13,12,1,13,4019
12,12,1,11,4006
12,12,1,12,3971
12,12,1,11,3943
13,12,1,13,3964
12,12,1,12,3975
12,12,1,12,3911
12,12,1,12,3946
13,12,1,13,4016
13,12,1,13,4058
13,13,1,13,3999
13,12,1,13,4028
12,11,1,12,3986
12,12,1,11,4006
13,12,1,13,4099
12,12,1,11,3941
13,13,1,13,4130
13,13,1,13,4051
13,13,1,13,4068
13,13,1,13,4095
13,13,1,13,4056
13,12,1,13,4022
12,12,1,12,3969
12,12,1,12,3986
12,12,1,12,4052
13,13,1,13,4017
13,12,1,13,4058
13,12,1,13,4062
13,12,1,13,4051
12,12,1,12,3986
13,12,1,13,4002
12,12,1,12,4007
12,12,1,11,3950
13,12,1,13,4046
12,12,1,12,3937
13,12,1,13,4072
13,12,1,13,4073
12,12,1,11,3964
13,12,1,13,4011
12,12,1,11,4041
12,11,1,12,3958
12,11,1,12,4013
13,12,1,13,4055
13,12,1,13,4007
12,12,1,12,3962
12,11,1,12,3957
12,12,1,12,3944
12,12,1,12,3951
13,12,1,13,4065
13,12,1,13,4023
12,11,1,12,4032
12,12,1,12,3969
13,12,1,13,4017
12,12,1,12,4014
12,11,1,12,4022
13,13,1,13,3959
12,12,1,12,3958
13,13,1,13,4006
13,13,1,13,4077
12,12,1,12,3985
12,12,1,11,3954
13,13,1,13,4040
12,12,1,12,3962
12,12,1,12,4041
13,13,1,13,4000
13,12,1,13,4039
12,12,1,11,4010
13,13,1,13,4089
13,13,1,13,4073
13,13,1,13,4059
12,12,1,11,3922
12,11,1,12,3983
12,12,1,12,3964
12,11,1,12,4012
13,12,1,13,4068
13,11,1,13,4008
13,13,1,13,4021
12,12,1,11,3993
13,12,1,13,3989
13,12,1,13,4119
13,13,1,13,4035
12,12,1,12,3959
13,12,1,13,3987
13,12,1,13,4048
13,13,1,13,4046
13,12,1,13,4019
13,12,1,13,4036
