fgc,min,rec,rem,work
12,12,1,11,2017
13,13,1,12,2080
12,12,1,11,2019
11,11,1,11,2005
12,11,1,12,2035
12,12,1,11,2024
11,11,1,11,1987
11,11,1,11,2016
12,11,1,12,2002
11,11,1,11,1966
12,12,1,11,2036
12,12,1,11,2000
12,12,1,11,2008
11,11,1,11,1944
11,11,1,11,2015
11,11,1,11,2000
12,11,1,12,2012
12,11,1,12,2019
12,11,1,12,2057
12,12,1,11,2009
11,11,1,11,1984
11,11,1,11,2021
12,11,1,12,2011
11,11,1,11,1977
11,11,1,11,1980
12,11,1,12,1998
11,11,1,11,2023
12,12,1,11,2004
11,11,1,11,2015
11,11,1,11,2024
11,11,1,11,1955
11,11,1,11,2018
11,11,1,11,2014
11,11,1,11,2001
11,11,1,11,1968
12,11,1,12,1999
11,11,1,11,1993
12,12,1,11,2029
12,12,1,11,2032
12,11,1,12,2039
12,11,1,12,1993
12,12,1,11,1982
11,11,1,11,2008
11,11,1,11,1963
12,12,1,11,1964
12,12,1,11,2028
11,11,1,11,2028
11,11,1,11,2005
12,12,1,11,2018
12,11,1,12,2031
11,11,1,11,2021
11,11,1,11,1985
11,11,1,11,1994
12,12,1,11,2045
11,11,1,11,1979
12,11,1,12,2024
12,12,1,11,2015
11,11,1,11,1980
11,11,1,11,1989
11,11,1,11,1947
12,11,1,12,2034
11,11,1,11,1989
12,12,1,11,2032
12,11,1,12,2018
11,11,1,11,2013
12,11,1,12,2030
12,11,1,12,1981
11,11,1,11,1992
12,11,1,12,2043
11,11,1,11,2015
12,12,1,11,2004
11,11,1,11,2002
11,11,1,11,1980
11,11,1,11,2042
12,11,1,12,2006
11,11,1,11,2029
11,11,1,11,2011
11,11,1,11,2040
11,11,1,11,1983
11,11,1,11,1960
12,11,1,12,1957
11,11,1,11,2029
12,11,1,12,1982
11,11,1,11,2012
12,11,1,12,1992
12,12,1,11,1996
12,12,1,11,1972
12,11,1,12,1988
11,11,1,11,2016
11,11,1,11,2007
11,11,1,11,2012
11,10,1,11,1986
12,11,1,12,2013
11,11,1,11,2031
11,11,1,10,1966
12,12,1,11,2016
11,11,1,11,1993
11,11,1,11,1998
11,11,1,11,2016
11,11,1,11,2010
12,12,1,11,2000
12,12,1,11,2024
11,11,1,11,2000
12,11,1,12,2001
12,12,1,11,2034
12,12,1,11,2013
13,12,1,13,2037
12,11,1,12,2001
12,12,1,11,2031
11,11,1,11,1995
11,11,1,11,1965
11,11,1,11,1969
11,11,1,11,1992
11,11,1,11,1988
12,12,1,11,2073
12,12,1,11,2025
12,12,1,11,2008
12,12,1,11,2028
11,11,1,11,2026
11,10,1,11,2013
12,12,1,11,1991
12,12,1,11,1987
12,11,1,12,2031
12,12,1,11,2007
12,12,1,11,2011
12,12,1,11,2008
11,11,1,11,2019
11,11,1,11,2034
12,12,1,11,2021
11,11,1,11,2004
12,11,1,12,2034
12,12,1,11,2017
12,11,1,12,1980
12,12,1,11,1990
12,12,1,11,1994
12,11,1,12,2043
12,11,1,12,2011
11,11,1,11,2033
11,11,1,11,2007
12,11,1,12,2028
11,11,1,11,1966
