fgc,min,rec,rem,work
11,11,1,10,999
11,11,1,10,962
11,10,1,11,1002
11,11,1,10,969
11,11,1,10,968
11,11,1,10,970
11,11,1,11,979
11,11,1,11,1005
11,11,1,10,970
11,11,1,10,965
11,11,1,10,974
11,11,1,11,999
11,10,1,11,997
11,11,1,11,994
11,11,1,11,996
11,11,1,10,978
10,10,1,10,976
11,11,1,11,991
11,10,1,11,987
11,11,1,11,977
11,11,1,11,988
11,11,1,10,998
11,10,1,11,976
11,10,1,11,987
11,11,1,11,986
11,11,1,11,988
11,11,1,11,1007
11,4,1,11,984
11,11,1,11,983
11,10,1,11,978
11,11,1,10,979
11,10,1,11,967
11,11,1,11,993
11,11,1,10,980
11,11,1,11,986
11,11,1,10,967
11,11,1,11,986
11,11,1,11,966
11,11,1,10,965
11,11,1,10,985
11,11,1,11,991
11,11,1,10,985
11,11,1,11,980
11,11,1,10,966
11,10,1,11,996
11,10,1,11,970
11,11,1,10,989
11,11,1,11,997
11,11,1,11,991
11,11,1,11,1008
11,11,1,11,986
11,11,1,10,982
10,10,1,10,986
11,11,1,10,976
11,11,1,10,986
11,11,1,11,1007
11,11,1,11,992
11,11,1,11,989
11,11,1,11,998
11,11,1,10,972
11,10,1,11,992
11,11,1,11,981
11,11,1,10,997
11,11,1,11,1013
11,11,1,10,994
11,11,1,10,982
11,11,1,11,993
11,11,1,10,976
11,11,1,10,979
11,10,1,11,982
11,10,1,11,987
11,2,1,11,986
11,11,1,10,976
11,11,1,10,976
11,10,1,11,980
11,11,1,10,1000
11,11,1,10,988
11,11,1,10,983
11,11,1,11,1010
11,11,1,10,971
11,11,1,11,984
11,10,1,11,988
11,11,1,10,998
11,11,1,10,991
11,10,1,11,970
11,11,1,11,994
11,11,1,11,978
11,11,1,10,969
11,11,1,10,974
11,10,1,11,984
11,11,1,11,994
11,11,1,11,1015
11,11,1,10,1009
10,10,1,10,994
11,10,1,11,982
11,11,1,11,995
11,11,1,10,964
11,11,1,11,989
11,11,1,10,984
11,11,1,11,988
11,11,1,11,1004
11,11,1,11,1026
11,11,1,11,995
11,11,1,11,999
11,11,1,10,973
11,11,1,11,1019
11,11,1,11,1005
10,10,1,10,996
11,11,1,10,979
11,11,1,11,984
11,11,1,11,986
11,10,1,11,978
11,11,1,10,984
11,11,1,11,980
11,10,1,11,961
11,11,1,10,963
11,11,1,11,971
11,11,1,11,1003
11,11,1,10,980
11,11,1,11,984
11,11,1,10,998
11,11,1,11,985
11,11,1,10,963
11,11,1,10,995
11,11,1,10,990
11,11,1,11,988
11,11,1,11,1001
11,11,1,10,961
10,10,1,10,957
11,11,1,11,1008
11,11,1,10,995
10,10,1,10,974
11,10,1,11,985
11,11,1,10,972
11,10,1,11,991
11,10,1,11,989
11,11,1,11,980
10,10,1,10,982
11,11,1,10,970
11,11,1,10,984
11,10,1,11,988
11,11,1,10,980
11,11,1,10,992
11,11,1,11,982
11,10,1,11,988
11,11,1,11,993
11,10,1,11,986
11,11,1,10,1001
11,11,1,11,990
10,10,1,10,967
11,10,1,11,979
11,10,1,11,976
11,11,1,10,963
11,11,1,11,1003
11,10,1,11,964
11,11,1,10,981
11,11,1,11,992
11,11,1,11,988
11,10,1,11,965
11,11,1,10,969
11,11,1,11,984
11,11,1,10,984
11,10,1,11,973
11,10,1,11,952
11,10,1,11,976
11,11,1,11,986
11,11,1,10,1004
11,10,1,11,992
11,11,1,10,986
11,11,1,10,975
11,10,1,11,979
11,10,1,11,959
11,10,1,11,963
11,11,1,11,996
11,11,1,10,978
11,11,1,10,974
11,10,1,11,980
11,11,1,10,967
11,11,1,11,962
11,11,1,11,1014
11,11,1,10,994
11,11,1,10,975
11,11,1,11,983
11,11,1,10,971
11,10,1,11,961
11,11,1,10,988
11,2,1,11,991
11,10,1,11,990
11,11,1,10,984
11,11,1,11,974
11,11,1,11,1002
11,10,1,11,979
