fgc,min,rec,rem,work
21,21,1,21,1038389
22,21,1,22,1037689
22,21,1,22,1038931
22,22,1,21,1038935
22,21,1,22,1038493
22,22,1,21,1038643
22,22,1,21,1039840
22,22,1,21,1039647
22,22,1,21,1038689
21,21,1,21,1039772
22,21,1,22,1040101
22,21,1,22,1039061
21,21,1,21,1038810
22,22,1,21,1039571
23,22,1,23,1038983
22,21,1,22,1039162
22,22,1,21,1039285
21,21,1,21,1038308
22,22,1,21,1039360
21,21,1,21,1040481
22,22,1,21,1039242
22,22,1,21,1040003
22,22,1,21,1039236
22,22,1,21,1039350
23,22,1,23,1038282
21,21,1,21,1039749
22,22,1,21,1040221
22,22,1,21,1039640
22,22,1,21,1038428
21,21,1,21,1039120
22,22,1,21,1037680
22,21,1,22,1038856
22,21,1,22,1038682
22,21,1,22,1039598
22,22,1,21,1039079
22,21,1,22,1038864
22,22,1,21,1040177
22,22,1,21,1040029
21,21,1,21,1039201
22,21,1,22,1038281
22,22,1,21,1037961
22,22,1,21,1038533
22,21,1,22,1038399
22,21,1,22,1038073
22,22,1,21,1038601
21,21,1,21,1039516
22,22,1,21,1038746
22,21,1,22,1039059
22,21,1,22,1038689
21,21,1,21,1038738
22,22,1,21,1038891
22,22,1,21,1038940
22,22,1,21,1039629
21,21,1,21,1039860
22,22,1,21,1038522
21,21,1,21,1039240
21,21,1,21,1038639
21,21,1,21,1039730
22,22,1,21,1038817
22,22,1,21,1039205
22,21,1,22,1039619
21,21,1,21,1039423
22,21,1,22,1038897
21,21,1,21,1039597
21,21,1,21,1038774
22,22,1,21,1040393
22,22,1,21,1038434
22,22,1,21,1038712
21,21,1,21,1038827
21,14,1,21,1039734
22,22,1,21,1039883
23,22,1,23,1040137
21,21,1,21,1039158
22,22,1,21,1039950
22,22,1,21,1040128
22,21,1,22,1040181
22,21,1,22,1038593
22,21,1,22,1039117
22,21,1,22,1039377
22,21,1,22,1038229
22,22,1,21,1038935
22,22,1,21,1038461
21,21,1,21,1038964
22,21,1,22,1040896
22,22,1,21,1038332
22,21,1,22,1039147
22,21,1,22,1038878
21,21,1,21,1038961
21,21,1,21,1038543
22,22,1,21,1039449
22,22,1,21,1038921
22,22,1,21,1037358
22,21,1,22,1039800
22,22,1,21,1039888
22,21,1,22,1039476
21,21,1,21,1039331
23,23,1,23,1039743
22,21,1,22,1039066
22,21,1,22,1039624
21,21,1,21,1039087
22,21,1,22,1039280
22,22,1,21,1039393
21,21,1,21,1040003
21,21,1,21,1038809
22,21,1,22,1041013
21,21,1,21,1039362
23,22,1,23,1038862
22,22,1,21,1039701
22,22,1,22,1039411
22,22,1,21,1037950
22,22,1,21,1038830
21,21,1,21,1038786
22,22,1,21,1038826
22,22,1,21,1038968
22,22,1,21,1038685
22,21,1,22,1040115
22,22,1,21,1038697
22,21,1,22,1039558
22,22,1,21,1038659
22,22,1,21,1038523
21,21,1,21,1038556
22,21,1,22,1039304
21,21,1,21,1038658
22,22,1,21,1040393
22,22,1,21,1039379
22,22,1,21,1039649
22,21,1,22,1039162
22,22,1,21,1037123
22,21,1,22,1038254
22,22,1,21,1037896
22,22,1,22,1038721
21,21,1,21,1039561
22,21,1,22,1038858
21,21,1,21,1039768
22,22,1,21,1039304
23,22,1,23,1038664
22,22,1,21,1040001
22,22,1,21,1037933
22,22,1,21,1041134
22,21,1,22,1039101
21,21,1,21,1039731
22,21,1,22,1040174
21,21,1,21,1038617
22,21,1,22,1039293
21,21,1,21,1040463
22,21,1,22,1040442
21,21,1,21,1039459
22,21,1,22,1039098
22,22,1,21,1038675
21,21,1,21,1038877
21,21,1,21,1038856
21,21,1,21,1039769
22,21,1,22,1039857
22,22,1,21,1039787
21,21,1,21,1039270
22,21,1,22,1039685
22,21,1,22,1039955
22,21,1,22,1039267
22,22,1,21,1040292
22,21,1,22,1039444
21,21,1,21,1038717
22,22,1,21,1038647
21,21,1,21,1040385
22,22,1,21,1040005
21,21,1,21,1040261
22,22,1,21,1039388
21,21,1,21,1039646
22,21,1,22,1038749
23,16,1,23,1038880
21,21,1,21,1038148
22,21,1,22,1039876
22,22,1,21,1040296
21,21,1,21,1038010
22,22,1,21,1039387
21,21,1,21,1038908
22,21,1,22,1039678
22,21,1,22,1039029
22,22,1,21,1039301
21,21,1,21,1038278
22,22,1,21,1039587
22,21,1,22,1039908
22,22,1,21,1040134
22,22,1,21,1038538
22,21,1,22,1039134
22,21,1,22,1040309
21,21,1,21,1039276
22,22,1,21,1038784
22,22,1,21,1038769
22,22,1,21,1039424
22,22,1,21,1039898
22,22,1,21,1039121
22,21,1,22,1038336
22,21,1,22,1039294
22,22,1,21,1039633
21,21,1,21,1039479
21,21,1,21,1038999
21,21,1,21,1040560
21,21,1,21,1038813
21,21,1,21,1037915
21,21,1,21,1039486
21,21,1,21,1039609
21,21,1,21,1039582
22,21,1,22,1038864
21,21,1,21,1039930
22,22,1,21,1038330
22,22,1,21,1037973
22,22,1,21,1038211
22,21,1,22,1040030
21,21,1,21,1039816
22,22,1,21,1040271
22,22,1,21,1040320
21,20,1,21,1039377
22,21,1,22,1039076
22,22,1,21,1038407
22,22,1,21,1039716
21,21,1,21,1038723
22,22,1,21,1040028
22,22,1,21,1039356
22,22,1,21,1039642
22,22,1,21,1037906
21,21,1,21,1038424
21,21,1,21,1038933
21,21,1,21,1038277
22,22,1,21,1038223
22,22,1,21,1039302
21,21,1,21,1039673
22,22,1,21,1038970
22,22,1,21,1038897
21,21,1,21,1039418
22,21,1,22,1040008
22,22,1,21,1039330
22,22,1,21,1038601
22,21,1,22,1040033
22,21,1,22,1039154
21,21,1,21,1039549
21,21,1,21,1039993
21,21,1,21,1038576
21,21,1,21,1038953
22,22,1,21,1039197
22,21,1,22,1039491
22,22,1,21,1039595
22,22,1,21,1038754
22,21,1,22,1039621
21,21,1,21,1038549
21,12,1,21,1038914
21,21,1,21,1039344
22,21,1,22,1038471
22,21,1,22,1039633
22,22,1,21,1038734
22,22,1,21,1038942
21,21,1,21,1039155
22,21,1,22,1038665
22,22,1,21,1038285
21,21,1,21,1040009
22,22,1,21,1039894
22,21,1,22,1038645
22,22,1,21,1038934
22,22,1,21,1039328
21,21,1,21,1038793
21,21,1,21,1039208
22,22,1,21,1039269
21,21,1,21,1038556
22,22,1,21,1038819
22,22,1,21,1039426
21,21,1,21,1038957
22,22,1,21,1038733
22,21,1,22,1040111
22,21,1,22,1038527
22,21,1,22,1039179
22,22,1,21,1038721
21,21,1,21,1039340
22,21,1,22,1039629
22,21,1,22,1039015
22,21,1,22,1039098
22,22,1,21,1039319
22,21,1,22,1039232
22,22,1,21,1039261
21,21,1,21,1040085
22,22,1,21,1039164
21,21,1,21,1038248
21,21,1,21,1038910
21,21,1,21,1039374
22,22,1,21,1038535
22,22,1,21,1038368
21,21,1,21,1039364
22,22,1,21,1039673
22,22,1,21,1040217
22,22,1,21,1038789
22,22,1,21,1039238
21,21,1,21,1038846
22,22,1,21,1039353
22,22,1,21,1038472
22,22,1,21,1038385
21,21,1,21,1037875
22,21,1,22,1039080
22,21,1,22,1039866
23,22,1,23,1038763
22,22,1,21,1039520
22,22,1,21,1038357
23,22,1,23,1039556
22,22,1,21,1039090
22,22,1,21,1038710
23,22,1,23,1040780
22,21,1,22,1039810
22,22,1,21,1039323
22,22,1,21,1038742
21,21,1,21,1039861
21,21,1,21,1039830
21,21,1,21,1038898
22,21,1,22,1039696
21,21,1,21,1039674
21,21,1,21,1039002
21,21,1,21,1039075
23,22,1,23,1039520
22,22,1,21,1039752
22,22,1,21,1038241
22,22,1,21,1038075
21,21,1,21,1039011
21,20,1,21,1039439
21,21,1,21,1040338
22,22,1,21,1040592
22,21,1,22,1038700
22,22,1,21,1039633
21,21,1,21,1039075
21,21,1,21,1039380
22,21,1,22,1038431
22,21,1,22,1040011
22,22,1,21,1039598
21,21,1,21,1038945
22,22,1,21,1040343
22,22,1,21,1039306
22,21,1,22,1039716
22,22,1,21,1040217
22,21,1,22,1038524
22,21,1,22,1039244
21,21,1,21,1038890
21,21,1,21,1038320
21,21,1,21,1040306
22,21,1,22,1040040
22,21,1,22,1038736
21,21,1,21,1039209
21,21,1,21,1038759
22,22,1,21,1039779
21,21,1,21,1039204
21,21,1,21,1038502
22,22,1,21,1039454
22,21,1,22,1038419
22,21,1,22,1039663
22,21,1,22,1039489
21,21,1,21,1039617
22,22,1,21,1039295
22,21,1,22,1039666
22,21,1,22,1039205
21,14,1,21,1039051
21,21,1,21,1039812
22,22,1,21,1038287
22,22,1,21,1038003
22,21,1,22,1039770
22,22,1,21,1039428
22,21,1,22,1038974
22,22,1,21,1038454
22,22,1,21,1038911
21,21,1,21,1039789
21,21,1,21,1039092
22,21,1,22,1040214
21,21,1,21,1039660
21,21,1,21,1039756
22,22,1,22,1039530
22,22,1,21,1039654
22,21,1,22,1039626
21,21,1,21,1039075
21,21,1,21,1040138
21,21,1,21,1038559
21,21,1,21,1038915
22,21,1,22,1040020
22,22,1,21,1037981
21,21,1,21,1038709
22,22,1,21,1039172
23,22,1,23,1038234
21,21,1,21,1039788
